genotype,Sobic.004G200744,Sobic.004G280800
PI534150,0.28,9.77
PI534151,0.04,8.37
PI534153,41.89,12.94
PI534154,0.14,8.02
PI534155,0,21.09
PI534157,0.53,2.4
PI534159,0,9.53
PI534160,0.44,9.58
PI534161,0.35,2.45
PI534162,0.68,5.21
PI534163,0,15.34
PI534164,0.48,9.26
PI534165,0.88,5.56
PI534167,0.21,10.46
PI542406,1.32,10.71
PI542718,0.29,12.01
PI548797,0.43,9.26
PI552861,0.19,9.37
PI561071,0,2.18
PI561073,0.96,8.87
PI564163,0.6071428571428572,4.812857142857143
PI564164,0,18.88
PI564165,0,5
PI565121,0,4.52
PI574455,0,40.54
PI576328,0.73,13.56
PI576329,0.55,6.06
PI576330,5.36,9.72
PI576331,0.09,9.82
PI576332,0,10.31
PI576333,0,8.22
PI576336,0,9.06
PI576338,0.68,15.98
PI576339,2.08,12.71
PI576340,0.94,6.88
PI576343,0.39,21.1
PI576344,2.04,28.98
PI576345,1.68,15.37
PI576347,0.04,11.69
PI576349,0.09,13.86
PI576351,0.88,7.72
PI576352,0,15.2
PI576353,0,5.5
PI576356,0.25,8.9
PI576358,0.3,5.65
PI576359,2.36,11.19
PI576360,0,6.12
PI576361,0,4.96
PI576362,1.05,6.77
PI576363,2.84,10.88
PI576364,1.03,8.21
PI576365,0.27,5.23
PI576367,0.07,10.28
PI576368,1.41,2.85
PI576369,0.6,10.26
PI576370,2,52.62
PI576371,0,10.09
PI576372,2.48,9.37
PI576373,0.88,12.24
PI576374,0.42,11.2
PI576375,0,2.16
PI576376,0.82,7.76
PI576378,0.11,13.39
PI576382,0.25,6.22
PI576383,1.58,8.68
PI576386,0.26,9.96
PI576387,0.61,12.37
PI576389,0.37,6.1
PI576390,0.96,12.23
PI576391,0.55,10.42
PI576392,0,10.87
PI576393,0,23.79
PI576394,1.98,16.04
PI576395,1.15,33.57
PI576396,0,10.05
PI576397,1.09,7.67
PI576398,0.32,8.18
PI576399,1.47,6.63
PI576400,2.34,42.28
PI576401,0.05,3.95
PI576402,0.12,9.55
PI576403,0.53,3.58
PI576404,0.14,5.35
PI576405,0.51,18.25
PI576406,0.12,11.27
PI576407,0.5,8.34
PI576409,0.63,6.82
PI576410,0,8.36
PI576411,0,19.31
PI576412,0,10
PI576413,1.38,9.25
PI576414,21.85,12.21
PI576415,0.4,8.18
PI576416,0.27,10.59
PI576417,0.13,12.45
PI576418,0,7.88
PI576419,4.82,8.69
PI576420,0.51,8.42
PI576421,1.23,8.5
PI576424,0.75,4.37
PI576425,2.28,11.34
PI576426,3.72,8.82
PI576427,1.24,20.73
PI576429,0.68,9.96
PI576430,0.71,10.25
PI576431,0,6.87
PI576432,0.16,13.87
PI576433,0.52,53.23
PI576434,0.08,6.73
PI576435,0.97,12.36
PI576436,0.39,10.83
PI576437,0,4.25
PI595699,0.29,10.11
PI595700,0,10.54
PI595701,4.86,16.92
PI595704,0.6,11.48
PI595705,0.35,6.64
PI595706,1,4.56
PI595708,1.22,5.45
PI595710,0,6.41
PI595711,0.17,8.81
PI595713,0,8.89
PI595714,0.02,9.33
PI595716,0.42,5.05
PI595717,0.91,5.79
PI595718,1.61,8.91
PI595719,3.91,10.59
PI595720,0.35,17.37
PI595721,0,8.51
PI595722,0,10.09
PI595724,3.44,5.79
PI595725,0,9.9
PI595726,0,7.41
PI595727,0,11.51
PI595728,0,8.77
PI595729,0.41,6.2
PI595731,0.73,9.82
PI595732,0,7.24
PI595733,0,5.34
PI595734,0,6.38
PI595735,0.84,7.25
PI595736,0.63,5.85
PI595737,0,6.1
PI595738,7.5,11.69
PI595739,0,6.59
PI595741,0.19,10.74
PI595743,2.38,9.91
PI595744,0.76,12.01
PI595746,0,3.79
PI595747,0,6.55
PI595748,1.91,10.84
PI597943,0.13,4.24
PI597946,0.34,7.57
PI597947,1.36,12.16
PI597949,0,5.04
PI597951,0.45,12.63
PI597952,0.47,18.19
PI597953,0.28,9.88
PI597954,2.12,10.42
PI597955,0.23,3.82
PI597957,0.37,10.7
PI597958,3.91,11.12
PI597959,0.48,7.41
PI597961,2.3,22.02
PI597962,0.89,11.73
PI597963,0.21,13.9
PI597965,20.57,11.61
PI597966,0.1,8.26
PI597967,0.66,5.64
PI597968,1.97,17.12
PI597969,1.18,1.13
PI597970,0,1.17
PI597971,1.39,13.62
PI597972,0.81,10.44
PI597973,0,1.02
PI597974,4.77,16.49
PI597975,8.8,12.33
PI597976,0,12.14
PI597978,2.41,12.04
PI597980,0,8.28
PI597981,15.29,16.03
PI597982,7.04,8.99
PI607931,0,4.34
PI609456,0.6,8.55
PI613536,0.26,4.65
PI629034,0.41,11.77
PI629040,0,10.35
PI629059,0.68,6.9
PI641849,0,9.27
PI642998,0,4.32
PI651496,0.31,9.13
PI655970,0.12,7.54
PI655972,0,6.48
PI655974,1.04,8.36
PI655975,0.48,5.23
PI655977,0.23,9.37
PI655978,0,6.44
PI655979,0.22,13.98
PI655981,0,5.35
PI655986,0,21.52
PI655987,0.41,7.54
PI655992,1.03,7.79
PI655993,0,4.36
PI655994,0.15,4.99
PI655995,0.19,11
PI655999,1.15,8.94
PI656000,0.54,3.8
PI656001,0,3.91
PI656002,1.02,9.16
PI656003,0,9.77
PI656004,0,5.99
PI656005,0.39,9.77
PI656006,0.79,6.28
PI656007,0.34,8.27
PI656008,12.63,5.63
PI656009,0.57,7.42
PI656010,0.47,6.45
PI656011,0.43,7.08
PI656012,0,5.04
PI656013,0,11.61
PI656014,0.04,9.89
PI656016,0.5,3.36
PI656017,0,5.22
PI656018,1.68,8.98
PI656019,1.01,9.74
PI656020,3.1,12.12
PI656024,0.26,5.38
PI656025,0.9,13.65
PI656027,0,5.53
PI656028,0,9.17
PI656029,0.24,4.88
PI656030,0,11.27
PI656031,0.55,5.48
PI656032,0,8.98
PI656034,0.64,4.64
PI656035,0,1.44
PI656036,0.57,4.15
PI656037,0.3,4.11
PI656039,0,3.77
PI656040,1.17,5.68
PI656041,0,6.47
PI656044,0.46,7.42
PI656046,0.75,10.11
PI656048,0.42,4.14
PI656050,0.1,5.78
PI656051,0.52,3.22
PI656053,0.25,17.95
PI656055,0,5.4
PI656056,1.22,10.36
PI656057,0.88,9.9
PI656058,0.37,7.88
PI656059,0,3.92
PI656060,0.22,8.92
PI656061,0.53,7.09
PI656062,0,10.51
PI656063,0.13,13.51
PI656068,0.48,5.4
PI656069,0.53,7.06
PI656070,1.32,7.67
PI656071,1.67,11.42
PI656072,0,4.93
PI656074,2,8.4
PI656076,0.26,9.4
PI656077,0.7,9.26
PI656078,1.41,12.83
PI656079,0.55,14.06
PI656080,0.68,10.72
PI656083,1.55,12.55
PI656084,0.3,2.87
PI656085,0.52,6.21
PI656087,0.62,9.5
PI656089,0.38,6.34
PI656091,0.14,4.6
PI656092,0.15,5.36
PI656093,0,8.42
PI656094,1.02,16.67
PI656095,0,5.85
PI656096,2.68,9.69
PI656097,0.9,8.4
PI656098,1.69,9.59
PI656099,0.32,5.29
PI656100,0.25,7.87
PI656101,18.03,23.61
PI656102,15.46,10.77
PI656103,0.16,11.57
PI656105,0.24,8.28
PI656106,0.63,6.86
PI656107,0,9.58
PI656108,0.75,10.63
PI656109,0.31,11.62
PI656110,0.36,8.82
PI656112,0.37,3.41
PI656115,1.91,18.44
PI656116,0.49,11.81
PI656118,0.46,15.77
PI656119,1.23,14.29
PI656121,2.31,8.7
PI659691,0.35,11.12
PI659693,0.1,12.69
PI659694,0,6.37
PI659695,2.92,7.1
PI659696,0.4,12.11
PI659753,0.23,6.12
RTAM2566,0.36,10.23
RTX2737,0.84,6.11
RTx2917,0,14.06
RTx430,0,5.88
SC0003,0.49,3.52
SC0027,0,4.4
SC0041,0.12,8.01
SC0092,0,9.46
SC0138,4.39,14.27
SC0150,0.1,9.26
SC0156,0.54,13.29
SC0157,0.2,5.08
SC0159,3.45,15.98
SC0178,0.95,8.57
SC0179,0.7,6.37
SC0190,0.09,5.99
SC0191,0.61,4.65
SC0201,0,4.48
SC0235,3.24,7.95
SC0236,0.62,13.63
SC0247,0.81,10.17
SC0249,0,4.85
SC0263,0,6.7
SC0266,40.04,11.09
SC0297,10.43,7.82
SC0314,0.22,8.38
SC0371,1.87,5.9
SC0409,2.41,11.83
SC0436,0,6.62
SC0438,0.11,9.81
SC0445,0.25,6.03
SC0448,0.27,26.72
SC0456,0,3.41
SC0458,0,5.51
SC0470,0,13.19
SC0479,0.74,4.89
SC0505,0.47,15
SC0517,0,13.26
SC0540,0.46,12.55
SC0542,0.66,13.45
SC0547,0,10.24
SC0550,0.06,10.9
SC0551,0.96,15.09
SC0556,1.38,11.79
SC0581,0,7.19
SC0582,0,3.78
SC0618,3.01,20.27
SC0631,4.07,9.12
SC0636,0.12,7.99
SC0640,8.01,10.78
SC0685,0,15.75
SC0713,0.52,8.82
SC0741,7.26,17.87
SC0747,0.74,10.35
SC0753,1.59,17.22
SC0759,2.2,9.99
SC0777,0,6.7
SC0814,0,4.15
SC0823,1.24,8.66
SC0834,0,3.57
SC0847,0.45,7.03
SC0848,0.92,5.54
SC0854,0,3.01
SC0858,0,6.05
SC0860,0,4.72
SC0868,0.51,27.66
SC0870,0.38,3.12
SC0871,0,6.23
SC0878,0.48,4.74
SC0893,0,12.07
SC0914,0.58,3.84
SC0921,0,14.25
SC0999,0.14,26.88
SC1021,0,10.67
SC1023,0.22,16.53
SC1024,8,10.96
SC1058,1.34,5.35
SC1082,0,11.86
SC1097,0,9.22
SC1107,0.7,12.1
SC1114,0.35,11.32
SC1119,0.18,10.95
SC1120,0.44,12.65
SC1133,5.76,13.92
SC1166,0,3.68
SC1170,1.79,8.85
SC1193,0.63,7.46
SC1216,0,5.41
SanChiSan,0.33,14.06
Segaolane,0.91,13.01
