genotype,Sobic.004G230800,Sobic.004G231300
PI533971,0,1.47
PI533974,0.07,1.45
PI533975,4.66,2.33
PI533976,0,1.2
PI533977,0.04,0.5
PI533978,0,2.04
PI533979,5.23,2.25
PI533980,0,0.7
PI533981,8.02,1.99
PI533982,7.57,4.29
PI533983,0.13,1.39
PI533984,0,1.46
PI533985,0,1.63
PI533986,0,1.69
PI533987,0,1.55
PI533988,0,2.26
PI533989,0,0.82
PI533990,0.03,1.76
PI533991,0.73,1.14
PI533992,0.04,2.33
PI533993,7.74,1.34
PI533995,0.3,1.82
PI533997,2.83,1.26
PI533998,2.05,1.75
PI533999,0.26,1.3
PI534000,0,1.13
PI534001,2.98,1.6
PI534002,0,1.57
PI534003,0.03,3.28
PI534004,1.72,1.18
PI534005,0.94,1.69
PI534006,0,3.27
PI534007,0,3.02
PI534008,0,7.06
PI534010,0.19,2.86
PI534011,2.56,2.94
PI534013,0,1.83
PI534014,17.89,1.76
PI534015,0.17,1.32
PI534016,0.07,1.89
PI534017,0.04,4.86
PI534018,0.86,2.79
PI534019,0,1.96
PI534020,0,1.56
PI534024,0.21,1.68
PI534025,0.32,1.79
PI534028,0.51,2.07
PI534030,0.27,2.06
PI534032,0.1,1.12
PI534035,0.08,3.08
PI534036,0.81,0.82
PI534037,0.05,0.66
PI534038,0,0.51
PI534039,0.12,3.43
PI534040,0,2.08
PI534043,0.2,0.82
PI534045,0,3.05
PI534046,0.04,2.47
PI534047,0.04,0.88
PI534048,0.04,1.8
PI534049,0,2.07
PI534050,0,1.02
PI534051,5.79,2.49
PI534053,0.13,3.24
PI534054,0.42,3.31
PI534055,0,2.1
PI534056,0.03,2.92
PI534057,0.05,0.83
PI534058,0.32,0.74
PI534059,0,1.53
PI534060,0,3.27
PI534062,1.38,0.37
PI534064,0,2.17
PI534065,0.08,1.74
PI534066,0.16,1.09
PI534067,0,1.36
PI534068,0.25,1.79
PI534069,0.03,1.55
PI534070,0.04,0.51
PI534071,0.04,2.37
PI534072,0,3.47
PI534073,0,2.46
PI534074,0,1.62
PI534076,0.29,1.85
PI534077,0,2.13
PI534078,0.09,0.93
PI534080,0.04,2.77
PI534081,0,1.02
PI534082,0.07,0.97
PI534083,0,2.47
PI534084,0,1.6
PI534085,0,2.4
PI534087,0,1.54
PI534088,0.04,2.09
PI534089,0.04,2.65
PI534090,0,1.07
PI534091,0.33,1.59
PI534092,1.39,2.94
PI534094,0,1
PI534095,0,1.58
PI534097,0.55,2.16
PI534098,0,0.83
PI534099,0,1.52
PI534100,0,2.02
PI534101,3.21,0.77
PI534102,3.6,2.93
PI534103,5.47,1.9
PI534104,0,1.87
PI534105,0,3.74
PI534106,0,1.86
PI534107,3.14,3.43
PI534108,0.1,1.38
PI534109,0.03,3.21
PI534110,0,3.05
PI534112,0,1.46
PI534113,0,1.18
PI534114,0.03,2.6
PI534115,0.04,5.32
PI534117,1.56,1.76
PI534118,0.45,1.28
PI534120,0.32,1.43
PI534122,4.89,1.01
PI534125,1.02,1.44
PI534126,0,1.12
PI534128,0.26,1.03
PI534129,13.38,1.87
PI534130,0.84,0.58
PI534132,0.21,2.08
PI534133,0,1.28
PI534134,0.5,0.66
PI534136,0.9,3.78
PI534137,0.06,1.6
PI534141,0,1.52
PI534142,0,1.29
PI534144,0.04,1.1
PI534146,2.9,0.4
PI534147,12.31,1.26
PI534150,0,1.3
PI534151,1.72,1.33
PI534153,1.64,4.84
PI534154,0,0.9
PI534155,0.09,2.71
PI534157,0,0.89
PI534159,0.26,1.71
PI534160,0.58,1
PI534161,0,1.47
PI534162,0,0.93
PI534163,0.04,1.38
PI534164,0,1.77
PI534165,0.82,1.07
PI534167,1.64,2.59
PI542406,0.04,3.23
PI542718,2.11,0.92
PI548797,0,5.3
PI552861,2.27,0.77
PI561071,0.15,1.64
PI561073,1.16,2.48
PI564163,7.144285714285713,1.5657142857142858
PI564164,0.09,3.3
PI564165,0,2.26
PI565121,0,1.6
PI574455,3.01,3.78
PI576328,0.04,2.05
PI576329,3.77,1.42
PI576330,0,2.3
PI576331,0.11,0.87
PI576332,0,1.38
PI576333,4.24,2.55
PI576336,0,1.92
PI576338,2.15,3.9
PI576339,0.2,3.66
PI576340,1.35,2.05
PI576343,0,0.63
PI576344,0,2.67
PI576345,0.27,1.53
PI576347,0.16,2.06
PI576349,0,2.26
PI576351,0,2.34
PI576352,0.09,2.64
PI576353,0,2.52
PI576356,0,1.09
PI576358,0.41,2.06
PI576359,0.97,1.14
PI576360,0.4,1.53
PI576361,0.04,2.11
PI576362,0,2.25
PI576363,0,2.72
PI576364,0,0.56
PI576365,0.17,1.88
PI576367,0,1.5
PI576368,0,1.13
PI576369,0.12,2
PI576370,0.06,1.91
PI576371,0,1.61
PI576372,0,1.07
PI576373,0,1.9
PI576374,0,2.16
PI576375,0,1.15
PI576376,0.07,2.39
PI576378,0.13,1.79
PI576382,0,0.94
PI576383,0.34,0.55
PI576386,1.29,0.59
PI576387,3.32,1.94
PI576389,1.05,1.24
PI576390,0.86,2.53
PI576391,0.04,2.61
PI576392,9.11,1.09
PI576393,2.95,1.29
PI576394,0.12,1.34
PI576395,0,2.15
PI576396,0.92,1.62
PI576397,0.15,2.05
PI576398,0.68,1.33
PI576399,0.07,1.66
PI576400,2.17,8.08
PI576401,0.04,2.5
PI576402,0.38,1.2
PI576403,0,1.14
PI576404,0,0.64
PI576405,0,1.22
PI576406,0.33,5.04
PI576407,0,1.7
PI576409,0,2.6
PI576410,0,2.29
PI576411,0,2.33
PI576412,0,1.26
PI576413,1.03,1.35
PI576414,10.15,6.12
PI576415,0.08,2.4
PI576416,0,1.99
PI576417,0.08,1.58
PI576418,0.28,1.67
PI576419,0.28,0.89
PI576420,16.58,0.94
PI576421,2.8,2.26
PI576424,0.52,2.36
PI576425,0.04,0.94
PI576426,0,2.56
PI576427,0,9.22
PI576429,0,0.51
PI576430,0,4.2
PI576431,0.04,0.25
PI576432,0,1.58
PI576433,5.19,13.14
PI576434,0,0.81
PI576435,9.04,1.17
PI576436,0.53,2.47
PI576437,0,1.43
PI595699,2.23,1.58
PI595700,0.04,1.65
PI595701,0.68,2.56
PI595704,0.03,1.83
PI595705,0,2.91
PI595706,0.17,1.02
PI595708,0.12,2.61
PI595710,0,3.26
PI595711,0,2.17
PI595713,0,1.66
PI595714,0.3,2.22
PI595716,3.3,1.96
PI595717,0.18,1.77
PI595718,0.07,0.95
PI595719,0.2,1.39
PI595720,0,2.74
PI595721,0.75,5.2
PI595722,0.17,1.27
PI595724,0.12,1.48
PI595725,0.04,1.6
PI595726,0,0.86
PI595727,0.99,1.12
PI595728,0.2,1.8
PI595729,0,0.77
PI595731,0,0.97
PI595732,0,1.09
PI595733,0,2.07
PI595734,0,1.64
PI595735,0,2.5
PI595736,1.12,1.74
PI595737,0,1.09
PI595738,0,3.48
PI595739,0.03,0.72
PI595741,0,2.8
PI595743,0,2.57
PI595744,0.17,1.27
PI595746,0,1.72
PI595747,0.07,1.26
PI595748,0,1.98
PI597943,0.15,1.26
PI597946,0.03,1.11
PI597947,9.82,3.31
PI597949,0,2.67
PI597951,0.04,1.36
PI597952,0,2.65
PI597953,9.12,2.3
PI597954,0,1.48
PI597955,0.04,0.62
PI597957,0.04,2.72
PI597958,0,1.11
PI597959,0,2.85
PI597961,0,3.02
PI597962,0.04,1
PI597963,0,1.71
PI597965,0.24,0.98
PI597966,0.13,4.28
PI597967,0.1,1.69
PI597968,0,1.01
PI597969,0.09,1.38
PI597970,0,1.21
PI597971,0.09,3.36
PI597972,0.04,1.28
PI597973,0.07,3.07
PI597974,0.11,1.63
PI597975,0,0
PI597976,0.08,1.23
PI597978,0,1.98
PI597980,0,2.49
PI597981,0,2.21
PI597982,0,0.86
PI607931,0.18,0.75
PI609456,1.09,0.47
PI613536,0,1.92
PI629034,0,1.87
PI629040,0.79,2.95
PI629059,3.52,3.31
PI641849,1.95,0.76
PI642998,2.57,0.79
PI651496,0.03,1.69
PI655970,0.53,2.34
PI655972,0.36,0.84
PI655974,0.23,1.31
PI655975,0,1.84
PI655977,0,1.69
PI655978,0,2.47
PI655979,0,2.83
PI655981,0.03,0.57
PI655986,1.84,2.7
PI655987,7.17,1.3
PI655992,2.21,1.96
PI655993,0.11,1.85
PI655994,1.48,1.11
PI655995,3.53,1.37
PI655999,0,2.62
PI656000,3.11,1.24
PI656001,0.43,1.65
PI656002,2.83,2.86
PI656003,0.74,1.87
PI656004,0,1.85
PI656005,1.34,2.79
PI656006,0.07,3.02
PI656007,0.53,1.69
PI656008,0.72,2.35
PI656009,0.06,1.28
PI656010,0.29,1.33
PI656011,0,1.53
PI656012,0.2,3.03
PI656013,0.63,1.1
PI656014,5.26,0.7
PI656016,6.41,1.37
PI656017,0,2.31
PI656018,0.63,2.41
PI656019,2.33,2.57
PI656020,2.39,2.27
PI656024,0.34,0.73
PI656025,3.91,0.85
PI656027,1.22,2.32
PI656028,1.06,4.32
PI656029,1.55,2.53
PI656030,0.13,4.94
PI656031,0.08,0.65
PI656032,0.24,2
PI656034,1.21,0.41
PI656035,0,0.08
PI656036,0.07,1.16
PI656037,1.45,1.51
PI656039,11.94,1.05
PI656040,0,2.97
PI656041,0,1.93
PI656044,2.46,1
PI656046,1.99,1.27
PI656048,0,2.56
PI656050,0.04,0.57
PI656051,2.32,1.87
PI656053,12.63,1.71
PI656055,12.53,1.06
PI656056,0.74,5.64
PI656057,0.25,1.65
PI656058,2.57,1.96
PI656059,10.72,2.25
PI656060,0.98,1.97
PI656061,2,1.83
PI656062,0,1.71
PI656063,7.12,2.36
PI656068,2.5,1.61
PI656069,0,2.01
PI656070,8.36,1.92
PI656071,0.09,3.01
PI656072,0.13,1.8
PI656074,0,1.9
PI656076,0.07,2.17
PI656077,0,1.81
PI656078,0.91,0.64
PI656079,0.04,1.07
PI656080,0.14,1.66
PI656083,0,2.87
PI656084,1.69,0.71
PI656085,0,1.11
PI656087,0,1.71
PI656089,0,1.31
PI656091,0.08,1.38
PI656092,0.09,1.74
PI656093,0.04,0.86
PI656094,0,2.52
PI656095,0,2.45
PI656096,0,0.68
PI656097,0.08,1.02
PI656098,0.08,1.22
PI656099,0,1.72
PI656100,0.35,2.16
PI656101,0,7.59
PI656102,0,1.58
PI656103,0,1.53
PI656105,0.97,1.33
PI656106,0,2.4
PI656107,0.03,1.51
PI656108,0.12,1.51
PI656109,2.07,1.7
PI656110,0,1.02
PI656112,5.66,1.71
PI656115,1.55,1.58
PI656116,0,1.23
PI656118,1.15,1.75
PI656119,0,1.12
PI656121,2.81,2.23
PI659691,0.18,3.93
PI659693,0,0.72
PI659694,0,1.19
PI659695,0.08,1.36
PI659696,0,1.4
PI659753,0.14,2.11
RTAM2566,0,2.28
RTX2737,0,0.84
RTx2917,0,3.27
RTx430,0.15,3.85
SC0003,6.82,2.04
SC0027,0.05,0.94
SC0041,0,1.89
SC0092,1.35,1.28
SC0138,0.24,2.45
SC0150,0,0.47
SC0156,0.42,1.09
SC0157,0.13,2.16
SC0159,0.39,2.81
SC0178,1.28,0.95
SC0179,6.9,1.46
SC0190,0,2.07
SC0191,0.04,0.93
SC0201,0.11,1.68
SC0235,0.03,0.74
SC0236,0.11,3.1
SC0247,0,2.18
SC0249,0,1.53
SC0263,0,1.04
SC0266,3.78,1.16
SC0297,0,1.03
SC0314,0,3.18
SC0371,0.06,0.37
SC0409,0,1.9
SC0436,0.34,2.21
SC0438,2.76,2.52
SC0445,0,3.05
SC0448,0.04,5.01
SC0456,0,1.34
SC0458,0.44,0.92
SC0470,3.19,3.2
SC0479,0.37,1.64
SC0505,0.04,1.6
SC0517,0.03,1.04
SC0540,0,1.77
SC0542,3.55,0.62
SC0547,0.05,0.61
SC0550,0,0.51
SC0551,0,1.45
SC0556,0.28,1.67
SC0581,0.05,3.65
SC0582,0.26,0.94
SC0618,0.47,3.12
SC0631,0.16,1.53
SC0636,1.93,2.67
SC0640,7.21,2.61
SC0685,0.68,1.72
SC0713,3.02,1.03
SC0741,4.16,2.48
SC0747,0,0.8
SC0753,0,2.6
SC0759,1.87,1.95
SC0777,0.32,0.97
SC0814,0.12,1.98
SC0823,0.04,1.08
SC0834,0.08,1.48
SC0847,0.45,1.97
SC0848,0.11,2.27
SC0854,0.41,1.75
SC0858,0.04,1.71
SC0860,0.95,2.69
SC0868,1.84,2.09
SC0870,0.11,2.11
SC0871,0.09,1.24
SC0878,0,1.22
SC0893,0.37,1.66
SC0914,0.06,0.98
SC0921,1.63,4
SC0999,1.89,2.11
SC1021,0,1.45
SC1023,0.03,2.07
SC1024,0.1,1.08
SC1058,0.04,1.75
SC1082,0.66,1.03
SC1097,0.69,1.26
SC1107,0.08,1.77
SC1114,0,2.05
SC1119,0,2.87
SC1120,0.04,4.8
SC1133,5.59,2.34
SC1166,0,1.38
SC1170,1.49,0.55
SC1193,0,6.15
SC1216,0.1,2.54
SanChiSan,3.31,1.96
Segaolane,0.19,2.53
